chlorides,fixed acidity,pH,sulphates,volatile acidity,quality white
0.052 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.02 ,0.5 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.084 g(sodium chloride)/dm^3,7.9 g(tartaric acid)/dm^3,3.22 ,0.55 g(potassium sulphate)/dm^3,1.04 g(acetic acid)/dm^3,False
0.04 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.14 ,0.5 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,8.1 g(tartaric acid)/dm^3,3.12 ,0.54 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.037 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.25 ,0.65 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,True
0.051 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.16 ,0.39 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.054 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.45 ,0.63 g(potassium sulphate)/dm^3,0.74 g(acetic acid)/dm^3,False
0.053 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.31 ,0.45 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,3.14 ,0.59 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.26 ,0.38 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.059 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.3 ,0.49 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.049 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.22 ,0.64 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,True
0.044 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.2 ,0.37 g(potassium sulphate)/dm^3,0.11 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.21 ,0.36 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.063 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.54 ,0.5 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.32 ,0.37 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.05 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.26 ,0.58 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.053 g(sodium chloride)/dm^3,8.0 g(tartaric acid)/dm^3,3.18 ,0.49 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.053 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.18 ,0.67 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.19 ,0.37 g(potassium sulphate)/dm^3,0.42 g(acetic acid)/dm^3,True
0.038 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.28 ,0.38 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,True
0.05 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.22 ,0.42 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,2.89 ,0.5 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.03 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.22 ,0.54 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.037 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.16 ,0.69 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.073 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.29 ,0.54 g(potassium sulphate)/dm^3,0.725 g(acetic acid)/dm^3,False
0.033 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.14 ,0.35 g(potassium sulphate)/dm^3,0.43 g(acetic acid)/dm^3,True
0.096 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.62 ,0.62 g(potassium sulphate)/dm^3,0.58 g(acetic acid)/dm^3,False
0.066 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.37 ,0.78 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,False
0.039 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.08 ,0.38 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.041 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.31 ,0.61 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,True
0.052 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.21 ,0.48 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,False
0.079 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.46 ,0.62 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,False
0.082 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.22 ,0.59 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.226 g(sodium chloride)/dm^3,8.7 g(tartaric acid)/dm^3,3.32 ,0.6 g(potassium sulphate)/dm^3,0.7 g(acetic acid)/dm^3,False
0.049 g(sodium chloride)/dm^3,8.1 g(tartaric acid)/dm^3,3.09 ,0.57 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,True
0.075 g(sodium chloride)/dm^3,12.2 g(tartaric acid)/dm^3,3.13 ,0.63 g(potassium sulphate)/dm^3,0.45 g(acetic acid)/dm^3,False
0.039 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.11 ,0.45 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.055 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.36 ,0.42 g(potassium sulphate)/dm^3,0.15 g(acetic acid)/dm^3,False
0.031 g(sodium chloride)/dm^3,6.1 g(tartaric acid)/dm^3,3.42 ,0.4 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,True
0.044 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.2 ,0.37 g(potassium sulphate)/dm^3,0.11 g(acetic acid)/dm^3,True
0.112 g(sodium chloride)/dm^3,9.2 g(tartaric acid)/dm^3,3.24 ,0.56 g(potassium sulphate)/dm^3,0.54 g(acetic acid)/dm^3,False
0.057 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,2.94 ,0.41 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.14 ,0.51 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,False
0.038 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.14 ,0.49 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.01 ,0.43 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,False
0.024 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,2.96 ,0.4 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,True
0.047 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.18 ,0.57 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.166 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.56 ,0.51 g(potassium sulphate)/dm^3,0.885 g(acetic acid)/dm^3,False
0.069 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.18 ,0.47 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,False
0.078 g(sodium chloride)/dm^3,10.5 g(tartaric acid)/dm^3,3.18 ,1.04 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.15 ,0.55 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.16 ,0.51 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.052 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.41 ,0.47 g(potassium sulphate)/dm^3,0.59 g(acetic acid)/dm^3,False
0.029 g(sodium chloride)/dm^3,5.5 g(tartaric acid)/dm^3,3.34 ,0.44 g(potassium sulphate)/dm^3,0.14 g(acetic acid)/dm^3,False
0.051 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.13 ,0.39 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,True
0.077 g(sodium chloride)/dm^3,9.5 g(tartaric acid)/dm^3,3.26 ,0.56 g(potassium sulphate)/dm^3,0.78 g(acetic acid)/dm^3,False
0.115 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.18 ,0.62 g(potassium sulphate)/dm^3,0.5 g(acetic acid)/dm^3,False
0.04 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.13 ,0.47 g(potassium sulphate)/dm^3,0.46 g(acetic acid)/dm^3,False
0.214 g(sodium chloride)/dm^3,10.2 g(tartaric acid)/dm^3,3.18 ,0.77 g(potassium sulphate)/dm^3,0.54 g(acetic acid)/dm^3,False
0.07 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,2.89 ,0.42 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.36 ,0.45 g(potassium sulphate)/dm^3,0.5 g(acetic acid)/dm^3,False
0.114 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.33 ,0.57 g(potassium sulphate)/dm^3,0.58 g(acetic acid)/dm^3,False
0.065 g(sodium chloride)/dm^3,8.7 g(tartaric acid)/dm^3,3.27 ,0.55 g(potassium sulphate)/dm^3,0.84 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.19 ,0.62 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.051 g(sodium chloride)/dm^3,8.0 g(tartaric acid)/dm^3,3.06 ,0.47 g(potassium sulphate)/dm^3,0.45 g(acetic acid)/dm^3,True
0.051 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.14 ,0.5 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.1 ,0.37 g(potassium sulphate)/dm^3,0.145 g(acetic acid)/dm^3,True
0.043 g(sodium chloride)/dm^3,5.6 g(tartaric acid)/dm^3,3.14 ,0.48 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.054 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.22 ,0.5 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,False
0.027 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.28 ,0.36 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.03 g(sodium chloride)/dm^3,4.8 g(tartaric acid)/dm^3,3.38 ,0.34 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.089 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.23 ,0.77 g(potassium sulphate)/dm^3,0.715 g(acetic acid)/dm^3,False
0.047 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.3 ,0.43 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.123 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.45 ,0.58 g(potassium sulphate)/dm^3,0.72 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.31 ,0.41 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,8.2 g(tartaric acid)/dm^3,3.24 ,0.39 g(potassium sulphate)/dm^3,0.52 g(acetic acid)/dm^3,False
0.047 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.2 ,0.52 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.037 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.49 ,0.42 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.027 g(sodium chloride)/dm^3,9.4 g(tartaric acid)/dm^3,3.08 ,0.43 g(potassium sulphate)/dm^3,0.42 g(acetic acid)/dm^3,False
0.074 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.24 ,0.7 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,False
0.083 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.29 ,0.56 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.46 ,0.53 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,False
0.038 g(sodium chloride)/dm^3,5.3 g(tartaric acid)/dm^3,3.38 ,0.51 g(potassium sulphate)/dm^3,0.275 g(acetic acid)/dm^3,True
0.05 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,2.9 ,0.43 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.23 ,0.53 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.06 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,3.39 ,0.72 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,5.2 g(tartaric acid)/dm^3,3.24 ,0.37 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,True
0.05 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.05 ,0.53 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.048 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.44 ,0.53 g(potassium sulphate)/dm^3,0.41 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.28 ,0.6 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.13 ,0.46 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.06 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.24 ,0.56 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.02 ,0.48 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.017 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.03 ,0.37 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,False
0.049 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.15 ,0.38 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.06 ,0.52 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.04 ,0.44 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.028 g(sodium chloride)/dm^3,5.3 g(tartaric acid)/dm^3,3.57 ,0.59 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.28 ,0.38 g(potassium sulphate)/dm^3,0.15 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.12 ,0.44 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.148 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.08 ,0.56 g(potassium sulphate)/dm^3,0.4 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.09 ,0.59 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,True
0.062 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.35 ,0.76 g(potassium sulphate)/dm^3,0.58 g(acetic acid)/dm^3,False
0.035 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.27 ,0.41 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.74 ,0.55 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.07 ,0.53 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.084 g(sodium chloride)/dm^3,9.0 g(tartaric acid)/dm^3,3.32 ,,0.48 g(acetic acid)/dm^3,False
0.064 g(sodium chloride)/dm^3,11.1 g(tartaric acid)/dm^3,3.25 ,0.57 g(potassium sulphate)/dm^3,0.44 g(acetic acid)/dm^3,False
0.05 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.3 ,0.37 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,False
0.036 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.18 ,0.39 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,False
0.039 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.12 ,0.37 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.069 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.29 ,0.48 g(potassium sulphate)/dm^3,0.49 g(acetic acid)/dm^3,False
0.05 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.13 ,0.38 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.142 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.0 ,0.44 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.054 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.36 ,0.54 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,5.3 g(tartaric acid)/dm^3,3.82 ,0.51 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.037 g(sodium chloride)/dm^3,8.1 g(tartaric acid)/dm^3,3.21 ,0.42 g(potassium sulphate)/dm^3,0.5 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.2 ,0.54 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,True
0.074 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,2.96 ,0.42 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.078 g(sodium chloride)/dm^3,8.0 g(tartaric acid)/dm^3,3.3 ,0.48 g(potassium sulphate)/dm^3,0.52 g(acetic acid)/dm^3,False
0.076 g(sodium chloride)/dm^3,10.4 g(tartaric acid)/dm^3,3.15 ,0.89 g(potassium sulphate)/dm^3,0.41 g(acetic acid)/dm^3,False
0.036 g(sodium chloride)/dm^3,5.3 g(tartaric acid)/dm^3,3.41 ,0.5 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.065 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,3.32 ,0.79 g(potassium sulphate)/dm^3,0.46 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.16 ,0.49 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.024 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.12 ,0.46 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.07 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.26 ,0.64 g(potassium sulphate)/dm^3,0.55 g(acetic acid)/dm^3,False
0.079 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.2 ,0.42 g(potassium sulphate)/dm^3,0.255 g(acetic acid)/dm^3,False
0.047 g(sodium chloride)/dm^3,10.3 g(tartaric acid)/dm^3,3.16 ,0.51 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.051 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.24 ,0.56 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,True
0.054 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,2.99 ,0.38 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.095 g(sodium chloride)/dm^3,15.5 g(tartaric acid)/dm^3,2.92 ,0.74 g(potassium sulphate)/dm^3,0.645 g(acetic acid)/dm^3,False
0.039 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.18 ,0.4 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.087 g(sodium chloride)/dm^3,5.6 g(tartaric acid)/dm^3,3.71 ,0.63 g(potassium sulphate)/dm^3,0.66 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.35 ,0.52 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.14 ,0.47 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.09 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.01 ,0.52 g(potassium sulphate)/dm^3,0.51 g(acetic acid)/dm^3,False
0.033 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,2.92 ,0.66 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,True
0.081 g(sodium chloride)/dm^3,10.2 g(tartaric acid)/dm^3,3.1 ,0.48 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.12 ,0.37 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,False
0.046 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.36 ,0.4 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.024 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,2.98 ,0.37 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.27 ,0.29 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.043 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.15 ,0.45 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.12 ,0.5 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.049 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.21 ,0.62 g(potassium sulphate)/dm^3,0.14 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.1 ,0.56 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.078 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.1 ,0.36 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,2.92 ,0.59 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.018 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.06 ,0.34 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.19 ,0.38 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.092 g(sodium chloride)/dm^3,10.0 g(tartaric acid)/dm^3,3.15 ,0.43 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,False
0.023 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.18 ,0.7 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.16 ,0.36 g(potassium sulphate)/dm^3,0.44 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.23 ,0.43 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.1 g(tartaric acid)/dm^3,3.34 ,0.59 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,True
0.025 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.31 ,0.63 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,True
0.06 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.13 ,0.48 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,True
0.035 g(sodium chloride)/dm^3,8.2 g(tartaric acid)/dm^3,3.16 ,0.34 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,False
0.047 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.09 ,0.54 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.08 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.36 ,0.7 g(potassium sulphate)/dm^3,0.64 g(acetic acid)/dm^3,False
0.056 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.2 ,0.53 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.048 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.05 ,0.3 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,False
0.035 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,2.88 ,0.36 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.33 ,0.33 g(potassium sulphate)/dm^3,0.13 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.25 ,0.43 g(potassium sulphate)/dm^3,0.445 g(acetic acid)/dm^3,False
